epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.696,1.89021,2.31068,1.82219,0.37639,0.1658,0.16499,0.06279,2.4576,3.03523,2.30858,0.00066559,0.00066559,0.00066559
2,644.538,1.96452,2.3193,1.88195,0.34923,0.2149,0.17285,0.06733,2.34803,2.95246,2.15393,0.00130588,0.00130588,0.00130588
3,926.917,1.89765,2.18633,1.84219,0.41216,0.34084,0.27519,0.11496,2.17683,2.63954,2.0465,0.00191977,0.00191977,0.00191977
4,1204.38,1.79898,1.9799,1.74799,0.58942,0.32525,0.36663,0.15084,2.18162,2.42826,2.00111,0.0018812,0.0018812,0.0018812
5,1478.19,1.6998,1.80484,1.65361,0.60784,0.3963,0.43214,0.20373,2.0682,2.15283,1.92287,0.0018416,0.0018416,0.0018416
6,1752.49,1.6326,1.66476,1.61141,0.64847,0.41775,0.46888,0.22055,1.97482,1.97683,1.81569,0.001802,0.001802,0.001802
7,2031.25,1.59557,1.60367,1.58462,0.65432,0.44483,0.49574,0.22769,1.95003,1.92378,1.81394,0.0017624,0.0017624,0.0017624
8,2303.44,1.52997,1.51728,1.54141,0.64259,0.49105,0.53221,0.25833,1.91396,1.72317,1.78688,0.0017228,0.0017228,0.0017228
9,2577.88,1.50023,1.43399,1.51109,0.73012,0.49971,0.57561,0.29072,1.83507,1.66955,1.72282,0.0016832,0.0016832,0.0016832
10,2850.47,1.46502,1.37969,1.4833,0.74005,0.49011,0.57085,0.28904,1.87741,1.66297,1.73887,0.0016436,0.0016436,0.0016436
11,3123.27,1.42289,1.30806,1.45051,0.73976,0.49594,0.56806,0.28324,1.84951,1.63527,1.72664,0.001604,0.001604,0.001604
12,3400.27,1.39591,1.24836,1.4346,0.74741,0.53553,0.60501,0.30336,1.83953,1.56977,1.7185,0.0015644,0.0015644,0.0015644
13,3673.66,1.3679,1.21017,1.42154,0.81543,0.51301,0.60472,0.3181,1.81012,1.56313,1.69023,0.0015248,0.0015248,0.0015248
14,3947.19,1.33529,1.15088,1.39151,0.76973,0.52166,0.6087,0.30249,1.88748,1.54835,1.72624,0.0014852,0.0014852,0.0014852
