epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,536.319,2.05176,3.91466,0.02027,0.29047,0.12536,0.10921,0.03638,2.52318,4.03805,0.03077,0.000996774,0.000996774,0.067771
2,1305.47,2.07191,2.75777,0.02101,0.45804,0.23628,0.2521,0.10025,2.24642,3.08466,0.02828,0.00199482,0.00199482,0.0354357
3,2112.15,1.96965,2.52499,0.01976,0.52231,0.21413,0.25267,0.10485,2.14755,3.15619,0.02699,0.00298508,0.00298508,0.0030926
4,2934.58,1.95119,2.38155,0.01972,0.53701,0.31023,0.35522,0.15486,2.07019,2.76393,0.02481,0.0029737,0.0029737,0.0029737
5,3773.12,1.85637,2.17243,0.01838,0.4664,0.30965,0.31984,0.12372,2.2428,2.52792,0.02675,0.00295335,0.00295335,0.00295335
6,4621.19,1.81075,2.03415,0.01769,0.65096,0.4119,0.44123,0.1895,2.05056,2.42933,0.02455,0.00292732,0.00292732,0.00292732
7,5411.3,1.75198,1.89793,0.01693,0.64886,0.4483,0.5018,0.21353,2.03651,2.08103,0.02397,0.00289572,0.00289572,0.00289572
8,6167.63,1.72588,1.80963,0.01672,0.63723,0.41999,0.48473,0.21816,2.0735,2.12233,0.02396,0.00285867,0.00285867,0.00285867
9,6961.55,1.69947,1.71038,0.01643,0.63206,0.45407,0.49744,0.23213,1.9481,2.11152,0.02223,0.00281632,0.00281632,0.00281632
10,7764.51,1.67542,1.64886,0.01585,0.68122,0.44079,0.50358,0.22699,2.01088,1.98761,0.02285,0.00276883,0.00276883,0.00276883
11,8567.58,1.63164,1.5717,0.01544,0.66563,0.45754,0.50381,0.23652,1.93881,2.12334,0.02232,0.00271639,0.00271639,0.00271639
12,9352.59,1.61349,1.51497,0.01518,0.665,0.51704,0.55283,0.25884,1.95564,1.79796,0.02162,0.00265921,0.00265921,0.00265921
13,10105.8,1.58623,1.44374,0.01489,0.69338,0.5082,0.58596,0.27312,1.91492,1.72225,0.02239,0.00259752,0.00259752,0.00259752
14,10863.7,1.57244,1.4041,0.01466,0.71787,0.50712,0.57833,0.27748,1.90242,1.78938,0.02117,0.00253155,0.00253155,0.00253155
15,11615.5,1.53192,1.377,0.01442,0.73808,0.51762,0.60469,0.29415,1.8917,1.7293,0.02144,0.00246157,0.00246157,0.00246157
