epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.116,1.70699,2.9271,1.58987,0.55882,0.36337,0.36892,0.16232,1.92374,2.40472,1.68732,0.00332795,0.00332795,0.00332795
2,230.202,1.68942,2.12421,1.54005,0.36349,0.24379,0.20638,0.08933,2.10225,2.91528,1.8829,0.00659533,0.00659533,0.00659533
3,323.124,1.78745,2.0579,1.61558,0.36259,0.2201,0.19558,0.07038,2.48284,3.08828,2.16014,0.00979672,0.00979672,0.00979672
4,413.339,1.86559,2.11939,1.71586,0.47454,0.29116,0.28878,0.12738,2.24151,2.65381,2.04696,0.009703,0.009703,0.009703
5,509.381,1.81085,1.9816,1.67377,0.50549,0.27152,0.27308,0.1204,2.1932,2.70429,1.95793,0.009604,0.009604,0.009604
6,609.4,1.7384,1.82068,1.6113,0.65766,0.36956,0.4268,0.1867,2.14173,2.17669,1.89368,0.009505,0.009505,0.009505
7,712.887,1.68971,1.72498,1.58118,0.6621,0.43501,0.48181,0.21554,2.01909,1.98958,1.80573,0.009406,0.009406,0.009406
8,826.522,1.63116,1.63369,1.53944,0.64766,0.45927,0.52311,0.24219,1.95045,1.88417,1.75716,0.009307,0.009307,0.009307
9,929.617,1.59813,1.57728,1.51708,0.70348,0.43859,0.50823,0.24887,1.95182,1.89244,1.77164,0.009208,0.009208,0.009208
10,1024.95,1.57501,1.53814,1.49844,0.70551,0.44945,0.51969,0.25255,1.9726,1.84889,1.79109,0.009109,0.009109,0.009109
11,1114.23,1.55833,1.4676,1.4781,0.71236,0.46274,0.53389,0.25469,2.01473,1.7603,1.81723,0.00901,0.00901,0.00901
12,1202.23,1.52922,1.42365,1.46127,0.7181,0.47718,0.54444,0.26996,1.90319,1.75229,1.69077,0.008911,0.008911,0.008911
13,1290.31,1.50372,1.38914,1.44576,0.69099,0.4896,0.54386,0.27867,1.88405,1.7186,1.69253,0.008812,0.008812,0.008812
14,1378.82,1.48963,1.36827,1.43334,0.75448,0.5078,0.60319,0.30315,1.84365,1.61338,1.66306,0.008713,0.008713,0.008713
15,1471.82,1.46376,1.3316,1.41185,0.76157,0.51646,0.60092,0.29853,1.86356,1.53544,1.66292,0.008614,0.008614,0.008614
16,1564.53,1.46252,1.32269,1.41119,0.76263,0.50113,0.58159,0.30007,1.81909,1.67864,1.65271,0.008515,0.008515,0.008515
17,1660.77,1.43987,1.27433,1.39768,0.74807,0.5129,0.58997,0.31146,1.79214,1.64994,1.60428,0.008416,0.008416,0.008416
18,1765.48,1.43108,1.26453,1.3834,0.77254,0.50433,0.58481,0.29359,1.85832,1.66581,1.67264,0.008317,0.008317,0.008317
19,1870.35,1.41757,1.23456,1.37922,0.78894,0.50549,0.59184,0.31394,1.79899,1.70007,1.63455,0.008218,0.008218,0.008218
20,1970.57,1.39269,1.20858,1.35843,0.79332,0.53611,0.62974,0.32208,1.82003,1.48029,1.61981,0.008119,0.008119,0.008119
21,2067.16,1.39543,1.19359,1.35837,0.79837,0.55228,0.63676,0.33025,1.79882,1.44878,1.60169,0.00802,0.00802,0.00802
22,2184.88,1.37334,1.16816,1.3456,0.76577,0.57886,0.63744,0.32008,1.85015,1.46265,1.64373,0.007921,0.007921,0.007921
23,2301.72,1.36583,1.15156,1.34225,0.78231,0.54766,0.63841,0.33638,1.79,1.47271,1.57675,0.007822,0.007822,0.007822
24,2392.75,1.36061,1.15463,1.33905,0.77726,0.5465,0.63646,0.33614,1.78863,1.45361,1.59239,0.007723,0.007723,0.007723
25,2483.95,1.3434,1.12088,1.32245,0.81045,0.56672,0.65663,0.34911,1.78691,1.46519,1.58911,0.007624,0.007624,0.007624
26,2577.89,1.34788,1.11236,1.3194,0.76885,0.55979,0.64036,0.34288,1.74952,1.4569,1.5787,0.007525,0.007525,0.007525
27,2671.59,1.32314,1.10103,1.30785,0.79894,0.58174,0.66106,0.35483,1.7373,1.39699,1.55736,0.007426,0.007426,0.007426
28,2763.67,1.31271,1.07275,1.29823,0.81991,0.58463,0.66948,0.34942,1.78327,1.37802,1.58346,0.007327,0.007327,0.007327
29,2857.15,1.31346,1.06215,1.29733,0.79625,0.57943,0.66186,0.35544,1.78735,1.40376,1.58603,0.007228,0.007228,0.007228
30,2953.85,1.30305,1.05089,1.29009,0.82492,0.5852,0.67461,0.35662,1.76536,1.31757,1.58497,0.007129,0.007129,0.007129
31,3047.85,1.28144,1.03598,1.27626,0.80769,0.56846,0.66393,0.35403,1.75681,1.40032,1.5609,0.00703,0.00703,0.00703
32,3141.93,1.2835,1.03524,1.27855,0.81694,0.5725,0.6613,0.35969,1.75549,1.37139,1.55169,0.006931,0.006931,0.006931
33,3236.33,1.28051,1.01631,1.2775,0.78755,0.59319,0.66738,0.3546,1.76173,1.37405,1.57127,0.006832,0.006832,0.006832
34,3330.11,1.26601,1.01382,1.26845,0.78974,0.59561,0.67072,0.36621,1.71654,1.34924,1.52806,0.006733,0.006733,0.006733
35,3424.3,1.25863,1.00355,1.26296,0.79329,0.61121,0.69217,0.3736,1.71743,1.29932,1.522,0.006634,0.006634,0.006634
36,3517.98,1.25149,0.99166,1.26268,0.82591,0.58463,0.67632,0.37433,1.74386,1.3056,1.55356,0.006535,0.006535,0.006535
37,3612.04,1.24504,0.97468,1.249,0.82588,0.59462,0.68299,0.36952,1.73086,1.2995,1.54584,0.006436,0.006436,0.006436
38,3706.11,1.25193,0.97955,1.25731,0.79612,0.61583,0.67393,0.37483,1.70867,1.32558,1.522,0.006337,0.006337,0.006337
39,3800.08,1.23887,0.95539,1.2457,0.83402,0.61251,0.69646,0.38282,1.73289,1.29199,1.54178,0.006238,0.006238,0.006238
40,3894.11,1.23632,0.95531,1.24199,0.81532,0.62996,0.70334,0.38754,1.71724,1.2755,1.52765,0.006139,0.006139,0.006139
41,3993.14,1.23017,0.9533,1.24724,0.8256,0.61121,0.70053,0.38564,1.70765,1.26014,1.52872,0.00604,0.00604,0.00604
42,4089.97,1.22544,0.93778,1.23496,0.83358,0.60774,0.69821,0.38672,1.71629,1.26048,1.52831,0.005941,0.005941,0.005941
43,4195.71,1.21379,0.92036,1.22556,0.80537,0.62103,0.69532,0.38693,1.7029,1.28483,1.53829,0.005842,0.005842,0.005842
44,4304.35,1.20313,0.91736,1.22278,0.85438,0.58983,0.69424,0.3827,1.71575,1.24689,1.52334,0.005743,0.005743,0.005743
45,4416.98,1.19411,0.90226,1.22007,0.84655,0.60873,0.69534,0.38822,1.70532,1.25911,1.51973,0.005644,0.005644,0.005644
46,4529.51,1.19151,0.89998,1.21666,0.81921,0.62827,0.71102,0.39336,1.7164,1.19878,1.52693,0.005545,0.005545,0.005545
47,4643.99,1.18505,0.89459,1.21185,0.82909,0.62854,0.71706,0.3968,1.71167,1.2074,1.52369,0.005446,0.005446,0.005446
48,4757.97,1.181,0.8902,1.21166,0.83128,0.62335,0.70949,0.39287,1.7182,1.24376,1.52818,0.005347,0.005347,0.005347
49,4871.98,1.17419,0.87631,1.20444,0.85938,0.60371,0.70804,0.38798,1.7295,1.24852,1.53376,0.005248,0.005248,0.005248
50,4986.34,1.14946,0.85863,1.19325,0.84693,0.62854,0.70686,0.39479,1.705,1.21884,1.51989,0.005149,0.005149,0.005149
51,5093.39,1.16629,0.86589,1.19546,0.84987,0.63442,0.71784,0.39464,1.71264,1.21367,1.52123,0.00505,0.00505,0.00505
52,5189.56,1.14744,0.85259,1.18927,0.85317,0.62912,0.72018,0.39959,1.70455,1.20595,1.51754,0.004951,0.004951,0.004951
53,5277.84,1.15051,0.84634,1.18382,0.85318,0.63113,0.70913,0.39689,1.70402,1.24887,1.51052,0.004852,0.004852,0.004852
54,5375.25,1.14594,0.84078,1.18583,0.87779,0.62392,0.7149,0.40175,1.68526,1.21132,1.50515,0.004753,0.004753,0.004753
55,5469.29,1.14813,0.84158,1.18734,0.85659,0.63951,0.72498,0.40418,1.7097,1.18188,1.51347,0.004654,0.004654,0.004654
56,5562.84,1.14082,0.82176,1.18232,0.87016,0.63258,0.72948,0.40619,1.70531,1.14811,1.51654,0.004555,0.004555,0.004555
57,5684.24,1.12576,0.81601,1.17605,0.85719,0.63027,0.72333,0.40406,1.69241,1.1621,1.50193,0.004456,0.004456,0.004456
58,5811.27,1.11737,0.81124,1.17231,0.85214,0.63778,0.7286,0.40698,1.68907,1.14048,1.5083,0.004357,0.004357,0.004357
59,5929.62,1.11503,0.80205,1.16653,0.84935,0.63839,0.72368,0.40414,1.68746,1.14414,1.50728,0.004258,0.004258,0.004258
60,6052.72,1.11007,0.799,1.16132,0.83963,0.65742,0.73539,0.4082,1.67898,1.15259,1.49945,0.004159,0.004159,0.004159
61,6178.96,1.11224,0.78955,1.15747,0.83927,0.65459,0.73088,0.40616,1.70326,1.13855,1.50615,0.00406,0.00406,0.00406
62,6316.17,1.10649,0.78584,1.16349,0.86354,0.65073,0.73575,0.4064,1.71607,1.13339,1.51814,0.003961,0.003961,0.003961
